Date,cpi,fed_rate,unemployment_rate,industrial_output,oil_price,close,sp500_return
2012-07-15,228.59,0.16,8.2,97.6714,87.15,1356.780029296875,0.01649736234989274
2012-07-16,228.59,0.16,8.2,97.6714,88.41,1353.6400146484375,-0.002314313728559836
2012-07-17,228.59,0.16,8.2,97.6714,89.07,1363.6700439453125,0.007409672577889825
2012-07-18,228.59,0.16,8.2,97.6714,89.88,1372.780029296875,0.006680490923747229
2012-07-19,228.59,0.16,8.2,97.6714,92.78,1376.510009765625,0.002717099891568653
2012-07-20,228.59,0.16,8.2,97.6714,91.56,1362.6600341796875,-0.010061659913606968
2012-07-21,228.59,0.16,8.2,97.6714,91.56,1362.6600341796875,-0.010061659913606968
2012-07-22,228.59,0.16,8.2,97.6714,91.56,1362.6600341796875,-0.010061659913606968
2012-07-23,228.59,0.16,8.2,97.6714,87.77,1350.52001953125,-0.00890905606969361
2012-07-24,228.59,0.16,8.2,97.6714,88.28,1338.31005859375,-0.009040932945028057
2012-07-25,228.59,0.16,8.2,97.6714,88.8,1337.8900146484375,-0.000313861457302278
2012-07-26,228.59,0.16,8.2,97.6714,89.4,1360.02001953125,0.016540974699349675
2012-07-27,228.59,0.16,8.2,97.6714,90.13,1385.969970703125,0.01908056557933535
2012-07-28,228.59,0.16,8.2,97.6714,90.13,1385.969970703125,0.01908056557933535
2012-07-29,228.59,0.16,8.2,97.6714,90.13,1385.969970703125,0.01908056557933535
2012-07-30,228.59,0.16,8.2,97.6714,89.8,1385.300048828125,-0.0004833595887074882
2012-07-31,228.59,0.16,8.2,97.6714,88.08,1379.3199462890625,-0.0043168283608459035
2012-08-01,229.918,0.13,8.1,97.2734,88.99,1375.3199462890625,-0.0028999798130677767
2012-08-02,229.918,0.13,8.1,97.2734,87.22,1365.0,-0.0075036694675360005
2012-08-03,229.918,0.13,8.1,97.2734,91.4,1390.989990234375,0.01904028588598905
2012-08-04,229.918,0.13,8.1,97.2734,91.4,1390.989990234375,0.01904028588598905
2012-08-05,229.918,0.13,8.1,97.2734,91.4,1390.989990234375,0.01904028588598905
2012-08-06,229.918,0.13,8.1,97.2734,92.3,1394.22998046875,0.0023292692665812798
2012-08-07,229.918,0.13,8.1,97.2734,93.68,1401.3499755859375,0.005106758007594747
2012-08-08,229.918,0.13,8.1,97.2734,93.39,1402.219970703125,0.0006208264404641284
2012-08-09,229.918,0.13,8.1,97.2734,93.39,1402.800048828125,0.0004136855394443195
2012-08-10,229.918,0.13,8.1,97.2734,92.94,1405.8699951171875,0.002188441817939202
2012-08-11,229.918,0.13,8.1,97.2734,92.94,1405.8699951171875,0.002188441817939202
2012-08-12,229.918,0.13,8.1,97.2734,92.94,1405.8699951171875,0.002188441817939202
2012-08-13,229.918,0.13,8.1,97.2734,92.76,1404.1099853515625,-0.0012519007957618733
2012-08-14,229.918,0.13,8.1,97.2734,93.4,1403.9300537109375,-0.00012814640056846294
2012-08-15,229.918,0.13,8.1,97.2734,94.35,1405.530029296875,0.0011396405267545262
2012-08-16,229.918,0.13,8.1,97.2734,95.66,1415.510009765625,0.007100510313353237
2012-08-17,229.918,0.13,8.1,97.2734,96.0,1418.1600341796875,0.0018721339981915275
2012-08-18,229.918,0.13,8.1,97.2734,96.0,1418.1600341796875,0.0018721339981915275
2012-08-19,229.918,0.13,8.1,97.2734,96.0,1418.1600341796875,0.0018721339981915275
2012-08-20,229.918,0.13,8.1,97.2734,96.03,1418.1300048828125,-2.1174829462955458e-05
