PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
86755,2014-03-24,35013,88.22000,77735313,-0.008764,512500,1,1
86755,2014-03-25,35013,88.51000,41723335,0.003287,500250,1,1
86755,2014-03-26,35013,87.37000,40930442,-0.012880,500500,1,1
86755,2014-03-27,35013,86.87900,64784488,-0.005620,499050,1,1
86755,2014-03-28,35013,87.05000,39895065,0.001968,503050,1,1
86755,2014-03-31,35013,87.67000,33924297,0.007122,501050,1,1
86755,2014-04-01,35013,89.21000,38687837,0.017566,498400,1,1
86755,2014-04-02,35013,89.44000,34631615,0.002578,497650,1,1
86755,2014-04-03,35013,88.73000,30319074,-0.007938,497600,1,1
86755,2014-04-04,35013,86.37000,131213229,-0.026598,497600,1,1
86755,2014-04-07,35013,85.55000,83995771,-0.009494,482500,1,1
86755,2014-04-08,35013,86.34000,51496075,0.009234,478600,1,1
86755,2014-04-09,35013,87.82000,45685231,0.017142,485100,1,1
86755,2014-04-10,35013,85.10000,73659615,-0.030972,484850,1,1
86755,2014-04-11,35013,84.11000,93657425,-0.011633,477500,1,1
86755,2014-04-14,35013,84.77000,46500747,0.007847,473950,1,1
86755,2014-04-15,35013,85.05010,85645447,0.003304,477900,1,1
86755,2014-04-16,35013,86.18000,46970999,0.013285,477900,1,1
86755,2014-04-17,35013,86.20000,53719454,0.000232,475700,1,1
86755,2014-04-21,35013,86.84000,25947923,0.007425,464100,1,1
86755,2014-04-22,35013,87.53000,39295338,0.007946,466700,1,1
86755,2014-04-23,35013,86.76000,34376729,-0.008797,467750,1,1
86755,2014-04-24,35013,87.59000,49074264,0.009567,469000,1,1
86755,2014-04-25,35013,86.19000,44341588,-0.015983,469850,1,1
86755,2014-04-28,35013,86.47000,58623796,0.003249,466150,1,1
86755,2014-04-29,35013,87.16000,36742661,0.007980,465550,1,1
86755,2014-04-30,35013,87.39000,38692308,0.002639,467200,1,1
86755,2014-05-01,35013,87.65000,37127219,0.002975,467900,1,1
86755,2014-05-02,35013,87.49000,40074150,-0.001825,464100,1,1
86755,2014-05-05,35013,87.95000,27924376,0.005258,459450,1,1
86755,2014-05-06,35013,86.81000,33698549,-0.012962,462400,1,1
86755,2014-05-07,35013,86.56000,67489143,-0.002880,456250,1,1
86755,2014-05-08,35013,86.48000,46556871,-0.000924,453800,1,1
86755,2014-05-09,35013,86.80000,35081529,0.003700,449750,1,1
86755,2014-05-12,35013,88.23000,38951060,0.016475,450900,1,1
86755,2014-05-13,35013,88.29000,30311862,0.000680,458850,1,1
86755,2014-05-14,35013,87.83000,26483571,-0.005210,461150,1,1
86755,2014-05-15,35013,87.13500,59680284,-0.007913,458650,1,1
86755,2014-05-16,35013,87.71000,66807315,0.006599,450600,1,1
86755,2014-05-19,35013,88.32000,32017036,0.006955,449150,1,1
86755,2014-05-20,35013,88.00000,33715953,-0.003623,455450,1,1
86755,2014-05-21,35013,88.84000,36837678,0.009545,460200,1,1
86755,2014-05-22,35013,89.23000,30617089,0.004390,461500,1,1
86755,2014-05-23,35013,89.88000,22691254,0.007284,461800,1,1
86755,2014-05-27,35013,91.00100,29725231,0.012472,460600,1,1
86755,2014-05-28,35013,90.72000,30478074,-0.003088,464750,1,1
86755,2014-05-29,35013,91.30000,33036099,0.006393,474700,1,1
86755,2014-05-30,35013,91.31000,29916899,0.000109,475000,1,1
86755,2014-06-02,35013,91.22000,30665405,-0.000986,475000,1,1
86755,2014-06-03,35013,91.18000,21783686,-0.000439,475000,1,1
86755,2014-06-04,35013,91.52000,20128261,0.003729,468850,1,1
86755,2014-06-05,35013,92.29000,35583055,0.008414,467300,1,1
86755,2014-06-06,35013,92.82000,22680643,0.005743,467700,1,1
86755,2014-06-09,35013,92.75000,23402469,-0.000754,465750,1,1
86755,2014-06-10,35013,92.91000,20635286,0.001725,467000,1,1
86755,2014-06-11,35013,92.89000,23132331,-0.000215,466150,1,1
86755,2014-06-12,35013,92.05000,35276233,-0.009043,462350,1,1
86755,2014-06-13,35013,92.32000,39449997,0.002933,467650,1,1
86755,2014-06-16,35013,92.40000,25218557,0.000867,470050,1,1
86755,2014-06-17,35013,92.45000,20977550,0.000541,472200,1,1
86755,2014-06-18,35013,92.97000,34666689,0.005625,472050,1,1
86755,2014-06-19,35013,92.91000,38428318,-0.000645,471850,1,1
86755,2014-06-20,35013,92.77000,25897494,0.001174,472250,1,1
86755,2014-06-23,35013,92.79000,20838197,0.000216,462250,1,1
86755,2014-06-24,35013,92.70000,31945762,-0.000970,465050,1,1
86755,2014-06-25,35013,93.29000,32818591,0.006365,466400,1,1
86755,2014-06-26,35013,93.34000,22572172,0.000536,466400,1,1
86755,2014-06-27,35013,93.75000,22881506,0.004393,466400,1,1
86755,2014-06-30,35013,93.91000,19764915,0.001707,465950,1,1
86755,2014-07-01,35013,94.94000,31862487,0.010968,465300,1,1
86755,2014-07-02,35013,95.10000,18784391,0.001685,466300,1,1
86755,2014-07-03,35013,95.70000,15291700,0.006309,469000,1,1
86755,2014-07-07,35013,95.41000,23266428,-0.003030,469000,1,1
86755,2014-07-08,35013,94.26000,40612448,-0.012053,472150,1,1
86755,2014-07-09,35013,94.96000,30070322,0.007426,476150,1,1
86755,2014-07-10,35013,94.66000,44250020,-0.003159,478250,1,1
86755,2014-07-11,35013,95.27000,19570393,0.006444,479250,1,1
86755,2014-07-14,35013,95.84000,19579041,0.005983,479400,1,1
86755,2014-07-15,35013,95.51000,39480119,-0.003443,483550,1,1
86755,2014-07-16,35013,95.89000,22061998,0.003979,481600,1,1
86755,2014-07-17,35013,94.61900,43487420,-0.013255,481550,1,1
86755,2014-07-18,35013,96.12000,36795832,0.015864,480000,1,1
86755,2014-07-21,35013,96.00000,29754810,-0.001248,475250,1,1
86755,2014-07-22,35013,96.61000,25770404,0.006354,473450,1,1
86755,2014-07-23,35013,97.22700,28947464,0.006386,473700,1,1
86755,2014-07-24,35013,97.12000,24707180,-0.001100,470600,1,1
86755,2014-07-25,35013,96.74000,29903633,-0.003913,471850,1,1
86755,2014-07-28,35013,96.77000,25603360,0.000310,471450,1,1
86755,2014-07-29,35013,96.60000,27022232,-0.001757,474600,1,1
86755,2014-07-30,35013,96.98000,35348519,0.003934,476150,1,1
86755,2014-07-31,35013,95.02000,50047926,-0.020210,474200,1,1
86755,2014-08-01,35013,94.67000,60707990,-0.003683,473250,1,1
86755,2014-08-04,35013,95.32000,33230537,0.006866,460450,1,1
